observations,average_speed_kmh,total_distance_km
23,0.37263570786759415,528.4653919501628
20,0.34802061117582683,392.5720500912038
17,0.3989406659700221,345.5174089186623
17,0.30851949962174696,251.43999755974772
17,0.2874362004280185,371.0762912777975
28,0.4101529485602995,715.9372386735058
21,0.38023178951423464,426.6370039906986
18,0.34711139290138054,400.579735746775
18,0.33723820452773484,282.54789805696447
13,0.4046933494971392,308.1501405842384
20,0.266025218117936,379.15189836137426
18,0.32328593281266566,403.4856540035375
16,0.24058503721048344,258.52217630530276
16,0.2306726534689638,258.9994033798635
14,0.2150918282911894,172.75341414566432
24,0.44670965831135306,513.46001810906
23,0.38802268901568693,475.29599283613766
22,0.4011670968127847,456.9854826444265
20,0.3736851359808685,460.22322841687844
13,0.34204543182754804,224.81148819702895
33,0.38329335307559625,616.6511851802527
24,0.3206284770209079,448.7270970123906
20,0.4285421300809956,506.8507786553808
20,0.3846880289996337,352.1780829014031
16,0.3583186492553428,308.1758911583883
26,0.33416433016287966,531.7957168374146
19,0.4048502898538393,383.86934796634256
17,0.3317073621961549,390.50730341844053
17,0.2988411498416511,298.62519361786326
16,0.3265343223082179,317.9760891777898
31,0.4222638249164555,642.5342970061384
31,0.4718606112360422,692.3145420012938
21,0.3682650797921123,443.4185003865772
21,0.541498404855068,457.64504634256286
20,0.47987284087600246,446.98964712399015
22,0.3374858583547443,495.80243021624386
21,0.3790375286836209,394.91532164503496
21,0.36471376307379927,434.35850521293713
20,0.29627632302245904,358.78677006528164
16,0.30092245570993953,259.32050293151286
26,0.47497569919143623,660.5856634329148
23,0.4995015968883938,575.3195079439342
20,0.33852432489373346,411.59603990186963
19,0.4959085903589326,419.0741846487872
17,0.32548417973482735,301.4090870156208
21,0.25588264847037623,407.52455335559284
18,0.23968301220221372,280.73488132974876
17,0.2906938591436176,298.5465154131138
16,0.25055813802877286,290.05306446090236
13,0.2196363050431336,240.53817432714132
