animal_id,species,total_distance_km,average_speed_kmh,observations
PEA_006,Peacock,343.62001517309375,0.6317613693143321,12
TIG_003,Tiger,318.0330369210801,0.5496654868060212,11
PEA_003,Peacock,286.71666042015534,0.4433174459459262,13
LEO_009,Leopard,283.33690515385365,0.4972658520099529,11
PEA_004,Peacock,281.49702802864783,0.4794155479519843,13
TIG_008,Tiger,280.1227559856608,0.5519549361785894,10
TIG_001,Tiger,277.4543834200293,0.5380457093671553,11
PEA_002,Peacock,277.0401997879295,0.39928757964628536,13
PEA_008,Peacock,275.6046396546915,0.5234448998613904,12
PEA_005,Peacock,275.3383481610098,0.45039452867085783,12
DEE_008,Deer,272.7201995581032,0.46624550630102646,10
MON_003,Monkey,267.78960084813644,0.4092972816295761,10
LEO_010,Leopard,266.5260638487197,0.43768522536947624,11
MON_005,Monkey,266.0463188246956,0.4307457540449939,10
PEA_001,Peacock,265.4285871182781,0.4742317211250151,13
FOX_004,Fox,263.27690857358937,0.5201956572111767,10
LEO_001,Leopard,260.52737761403796,0.40381153278229204,12
PEA_010,Peacock,259.8450051620059,0.43729176132049136,12
FOX_007,Fox,252.9925568835768,0.4432863425160508,10
BOA_008,Boar,246.2254280561626,0.4379410703314504,9
TIG_004,Tiger,244.91395543995762,0.4534872330952361,11
MON_007,Monkey,242.76821468701218,0.4180997226311575,9
RAB_009,Rabbit,239.00120110144283,0.4222302893573505,10
TIG_009,Tiger,234.8639283287395,0.44094204687684246,10
LEO_007,Leopard,230.37182399834506,0.38016229046822086,11
DEE_010,Deer,229.22019302465696,0.45333879456995374,9
PEA_009,Peacock,227.95892184372732,0.387157721729125,12
TIG_002,Tiger,227.58364225659426,0.3892103842142396,11
DEE_002,Deer,225.19708652444587,0.41177578870397413,10
LEO_006,Leopard,223.9773264895571,0.4242809050593534,11
FOX_010,Fox,221.80254790110016,0.4302021021529898,10
FOX_009,Fox,220.1561853465959,0.3835540604932217,10
DEE_001,Deer,217.36733515153847,0.39697274066756977,10
TIG_005,Tiger,216.79637506208752,0.3748985043052535,11
DEE_005,Deer,214.54348371345998,0.35754819071931254,10
RAB_010,Rabbit,212.77433748157281,0.37120279391067046,10
FOX_006,Fox,212.26083619864426,0.5022272478227393,10
DEE_003,Deer,208.67479279269966,0.3475692706147654,10
BOA_001,Boar,205.88694320779345,0.4124554195252396,10
LEO_002,Leopard,205.29086058130252,0.29240952280855836,12
FOX_003,Fox,205.19526363347833,0.40832914319050745,10
FOX_008,Fox,204.7152735280746,0.35353522053192876,10
FOX_005,Fox,204.22769153940754,0.3863558435080556,10
DEE_004,Deer,202.44259200811078,0.3430445445396509,10
MON_006,Monkey,202.17817398132576,0.37621946890471525,9
WOL_009,Wolf,201.19553045650082,0.3260957127555429,8
LEO_005,Leopard,198.66427417426397,0.3923792978007708,11
MON_004,Monkey,198.6246274432864,0.2967679920674775,10
RAB_008,Rabbit,198.29038277243143,0.34973259084345204,10
ELE_006,Elephant,197.72917802835556,0.3573103940838891,8
DEE_006,Deer,196.53605978554853,0.3299928807271537,10
ELE_004,Elephant,196.40246307532732,0.3091980968317738,9
BOA_003,Boar,196.2740115549849,0.31924580903775257,10
LEO_008,Leopard,195.41443851694964,0.34864923435369966,11
BOA_009,Boar,194.7433718753591,0.3459808285592564,9
RAB_007,Rabbit,193.81037754318515,0.32974764135025736,10
BOA_007,Boar,193.59664446888277,0.3887662706987581,9
TIG_007,Tiger,193.41369228085998,0.32527919428670127,10
BOA_004,Boar,193.04985604362562,0.3338963728365452,10
BOA_002,Boar,192.68343434342984,0.3420034652066137,10
RAB_005,Rabbit,191.76715714374993,0.37404601107635055,10
RAB_003,Rabbit,190.45734268999988,0.3185715110357064,10
PEA_007,Peacock,189.85262751102346,0.33095394827749436,12
BOA_010,Boar,189.31568518101727,0.3543724493311478,9
WOL_010,Wolf,188.36504501921996,0.33365999412193176,8
TIG_010,Tiger,187.85809348118948,0.3677815070193624,10
TIG_006,Tiger,186.94461976692804,0.32722148102121,10
FOX_001,Fox,186.7640578298171,0.29997650090772954,11
RAB_006,Rabbit,186.46540431673998,0.2992338266403916,10
DEE_009,Deer,185.82651511791178,0.38631553124795087,9
LEO_003,Leopard,185.70856710660064,0.28902632916824006,12
RAB_004,Rabbit,183.4436894604032,0.31794263754596,10
LEO_004,Leopard,182.76539742418532,0.3037677987951613,11
WOL_002,Wolf,182.3950556469867,0.3080756856164273,9
DEE_007,Deer,181.323759375707,0.31602991522710266,10
RAB_002,Rabbit,180.5815957638624,0.3041335813439306,10
MON_010,Monkey,179.06358065527593,0.4169351548710903,9
MON_009,Monkey,174.38740016945758,0.35049338023512866,9
WOL_001,Wolf,172.83036395126547,0.29252248267034475,9
RAB_001,Rabbit,166.59204179762287,0.28011100898918023,10
FOX_002,Fox,159.38488876924754,0.2626183112479124,11
WOL_006,Wolf,158.87800646217886,0.30048055346765473,8
