average_temperature,average_speed_kmh,total_distance_km
26.70967741935484,0.4554918776924661,2682.9020328605625
27.004761904761907,0.43338616490866744,2367.9844829431267
26.584313725490194,0.3964686812869179,2130.7762102035317
27.368367346938776,0.3799982289096391,2133.8520170521824
26.83362831858407,0.37553036185355676,2232.5830349078155
26.008510638297874,0.3459272515136185,1889.0711397975742
25.89157894736842,0.33957808419455027,1922.7736510178506
26.899,0.336695189209325,1943.1835300710104
27.12857142857143,0.26058493417976325,1472.9125461957424
25.748235294117645,0.2517413538908714,1517.3971888864992
